0,0,0
"
Relation des choses de Yucatan de Diego de LandaTexte espagnol et traduction française en regard, comprenant les signes du calendrier et de l'alphabet hiéroglyphique de la langue maya; accompagné de documents divers historiques et chronologiques, avec une grammaire et un vocabulaire abrégés français-maya, précédés d'un essai sur les sources de l'histoire primitive du Mexique et de l'Amérique Centrale, etc., d'après les monuments égyptiens, et de l'histoire primitive de l'égypte d'après les monuments américains par l'abbé Brasseur de Bourbourg
","
Brasseur de Bourbourg, abbé, 1814-1874","May 18, 2019"
"
Rafael Cordero: Elogio Póstumo
","
Brau, Salvador, 1842-1912","Jan 16, 2013"
"
Spanish Composition
","
Broomhall, Edith J.","Nov 28, 2011"
"
Electra
","
Pérez Galdós, Benito, 1843-1920","Feb 4, 2009"
"
Tragedias
","
Aeschylus, 525 BCE-456 BCE","Aug 9, 2021"
"
Thespis (novelas cortas y cuentos)
","
Bunge, Carlos O. (Carlos Octavio), 1875-1918","Oct 4, 2008"
"
El Capitán VenenoThe Hispanic Series
","
Alarcón, Pedro Antonio de, 1833-1891","Aug 19, 2009"
"
Argentina, Legend and History
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 5, 2013"
"
Argentina, Legend and History
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 5, 2013"
"
Clemencia: Novela de costumbres
","
Caballero, Fernán, 1796-1877","Sep 12, 2019"
"
ManfredoDrama en tres actos
","
Byron, George Gordon Byron, Baron, 1788-1824","Jan 1, 2004"
"
Doña Perfecta
","
Pérez Galdós, Benito, 1843-1920","Apr 28, 2005"
"
Doña Perfecta
","
Pérez Galdós, Benito, 1843-1920","Apr 28, 2005"
"
La gaviota
","
Caballero, Fernán, 1796-1877","Nov 23, 2007"
"
Poetas de color
","
Calcagno, Francisco, 1827-1903","Mar 20, 2014"
"
Cartas de mi molino
","
Daudet, Alphonse, 1840-1897","Aug 16, 2009"
"
La isla del tesoro
","
Stevenson, Robert Louis, 1850-1894","Apr 19, 2014"
"
Teatro selecto, tomo 1 de 4
","
Calderón de la Barca, Pedro, 1600-1681","Mar 26, 2017"
"
Teatro selecto, tomo 2 de 4
","
Calderón de la Barca, Pedro, 1600-1681","Nov 8, 2017"
"
Teatro selecto, tomo 4 de 4
","
Calderón de la Barca, Pedro, 1600-1681","Sep 28, 2020"
"
Teatro selecto, tomo 3 de 4
","
Calderón de la Barca, Pedro, 1600-1681","Jan 7, 2019"
"
Cuentos Clásicos del Norte, Primera Serie
","
Poe, Edgar Allan, 1809-1849","Jul 5, 2014"
"
Cuentos Clásicos del Norte, Segunda Serie
","
Hale, Edward Everett, 1822-1909","Aug 3, 2014"
"
Diccionario Ingles-Español-TagalogCon partes de la oracion y pronunciacion figurada
","
Calderón, Sofronio G., 1878-1954?","Mar 4, 2007"
"
Diccionario Ingles-Español-TagalogCon partes de la oracion y pronunciacion figurada
","
Calderón, Sofronio G., 1878-1954?","Mar 4, 2007"
